cmd_copy(0x0d, 0x04, 0x01, 0x00000000, 0x00000000, 0x00000000000000000018a2a40000000000000000000000000018a2a40000000000001f88000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x012a0000, 0x00000000, 0x00000000000000000018a2a40000000000000000000000000018a2a40000000000001f88000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x00000000000000000018a2a40000000000000000000000000018a2a40000000000001f88000000000000000000000000)
cmd_copy(0x09, 0x10, 0x10, 0x00004111, 0x00000110, 0x00000000000000000018a2a40000000000000000000000000018a2a40000000000001f88000000000000000000000000)
cmd_copy(0x0b, 0x04, 0x64, 0x00004111, 0x00000110, 0x00000000000000000018a2a40000000000000000000000000018a2a40000000000001f88000000000000000000000000)
cmd_copy(0x0b, 0x04, 0x21, 0x00004111, 0x00000110, 0x00000000000000000018a2a40000000000000000000000000018a2a40000000000001f88000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x00000000000000000018a2a40000000000000000000000000018a2a40000000000001f88000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000016000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000010100303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000010b00303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000001400303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000b0b030000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x0000000009ffffff00303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x000b0000, 0x000000004d59323434364355313400000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00050000, 0x000000003030323300364355313400000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00050000, 0x000000003030343700364355313400000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00050000, 0x000000003031313300364355313400000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00020000, 0x000000003000313300364355313400000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x000b0000, 0x000000004155323433393638363200000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x000c0000, 0x000000003144313130303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00050000, 0x000000003032313400303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000600303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000100303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000007fffffff00303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x0000000045ee700000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x00000000bef0a3d700303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00000000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x0a, 0x00, 0x00, 0x00000000, 0x00000000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00000000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00000000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00000000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000001900303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00000000, 0x000000000000001900303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x000000000000001900303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x000000000000001900303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x000000000000001900303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00000000, 0x000000000000001900303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00000000, 0x000000000000001900303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000600303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000100303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000000000000000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x000000007fffffff00303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x0000000045ee700000303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x00000000bef0a3d700303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x00, 0x00000000, 0x00040000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x0000000045ef5e5200303935353333000000000000050000022401000991100000060151000000000000000000000000)
cmd_copy(0x09, 0x30, 0x10, 0x00000000, 0x00000000, 0x00000000000000000018b5e70000000000000000000000000018b5e70000000000001fa1000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x00000000000000000018b5e70000000000000000000000000018b5e70000000000001fa1000000000000000000000000)
cmd_copy(0x09, 0x30, 0x10, 0x00000000, 0x00000000, 0x00000000000000000018b5fd0000000000000000000000000018b5fd0000000000001fa1000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x00000000000000000018b5fd0000000000000000000000000018b5fd0000000000001fa1000000000000000000000000)
cmd_copy(0x09, 0x30, 0x10, 0x00000000, 0x00000000, 0x00000000000000000018b6130000000000000000000000000018b6130000000000001fa1000000000000000000000000)
cmd_copy(0x09, 0x10, 0x00, 0x00000000, 0x00000000, 0x00000000000000000018b6130000000000000000000000000018b6130000000000001fa1000000000000000000000000)
