Wavenumber;Intensity
650,4205;0,095597
652,2841;0,089418
654,1478;0,088934
656,0115;0,093949
657,8751;0,093099
659,7388;0,090825
661,6025;0,093915
663,4661;0,091835
665,3298;0,089553
667,1935;0,092087
669,0571;0,090383
670,9208;0,085268
672,7845;0,085530
674,6481;0,086464
676,5118;0,084193
678,3755;0,080302
680,2392;0,079657
682,1028;0,081234
683,9665;0,078756
685,8302;0,076700
687,6938;0,079684
689,5575;0,081065
691,4212;0,077847
693,2848;0,076273
695,1485;0,072757
697,0122;0,068974
698,8758;0,069620
700,7395;0,069864
702,6032;0,066161
704,4669;0,062983
706,3305;0,063861
708,1942;0,066536
710,0579;0,064254
711,9215;0,058650
713,7852;0,058674
715,6489;0,060600
717,5125;0,061491
719,3762;0,061143
721,2399;0,057595
723,1035;0,053903
724,9672;0,056225
726,8309;0,059705
728,6945;0,057104
730,5582;0,053131
732,4219;0,050530
734,2856;0,051110
736,1492;0,052772
738,0129;0,050509
739,8766;0,046511
741,7402;0,046447
743,6039;0,047713
745,4676;0,048546
747,3312;0,045613
749,1949;0,040553
751,0586;0,038399
752,9222;0,039796
754,7859;0,042668
756,6496;0,039394
758,5132;0,035636
760,3769;0,035446
762,2406;0,036652
764,1043;0,036511
765,9679;0,034601
767,8316;0,032551
769,6953;0,029881
771,5589;0,029794
773,4226;0,031914
775,2863;0,029123
777,1499;0,023907
779,0136;0,023554
780,8773;0,023011
782,7409;0,021687
784,6046;0,021458
786,4683;0,019643
788,3320;0,016377
790,1956;0,013730
792,0593;0,008824
793,9230;0,006021
795,7866;0,006493
797,6503;0,005312
799,5140;0,005219
801,3776;0,007937
803,2413;0,011910
805,1050;0,016729
806,9686;0,026640
808,8323;0,043080
810,6960;0,076008
812,5596;0,129220
814,4233;0,181627
816,2870;0,196721
818,1507;0,159016
820,0143;0,101464
821,8780;0,059886
823,7417;0,039572
825,6053;0,030146
827,4690;0,023686
829,3327;0,019206
831,1963;0,019078
833,0600;0,019709
834,9237;0,018183
836,7873;0,015975
838,6510;0,015602
840,5147;0,015285
842,3784;0,015857
844,2420;0,015789
846,1057;0,011612
847,9694;0,011775
849,8330;0,014160
851,6967;0,014294
853,5604;0,013457
855,4240;0,012645
857,2877;0,012119
859,1514;0,013419
861,0150;0,013183
862,8787;0,010629
864,7424;0,010095
866,6060;0,009924
868,4697;0,009546
870,3334;0,010209
872,1971;0,010153
874,0607;0,010061
875,9244;0,010478
877,7881;0,011251
879,6517;0,011581
881,5154;0,009959
883,3791;0,010004
885,2427;0,011065
887,1064;0,009264
888,9701;0,009977
890,8337;0,012458
892,6974;0,012540
894,5611;0,011360
896,4247;0,012093
898,2884;0,012486
900,1521;0,012976
902,0158;0,015328
903,8794;0,016281
905,7431;0,016251
907,6068;0,017764
909,4704;0,019009
911,3341;0,019351
913,1978;0,022575
915,0614;0,026107
916,9251;0,027928
918,7888;0,030979
920,6524;0,033944
922,5161;0,036038
924,3798;0,037725
926,2435;0,043011
928,1071;0,051650
929,9708;0,060161
931,8345;0,070741
933,6981;0,085170
935,5618;0,102931
937,4255;0,125187
939,2891;0,156481
941,1528;0,200957
943,0165;0,261195
944,8801;0,337546
946,7438;0,418299
948,6075;0,476862
950,4711;0,480263
952,3348;0,419519
954,1985;0,328750
956,0622;0,239423
957,9258;0,163829
959,7895;0,107854
961,6532;0,074382
963,5168;0,056469
965,3805;0,045347
967,2442;0,037804
969,1078;0,032347
970,9715;0,027696
972,8352;0,024952
974,6988;0,023231
976,5625;0,021682
978,4262;0,019457
980,2899;0,017334
982,1535;0,016934
984,0172;0,016038
985,8809;0,013635
987,7445;0,012313
989,6082;0,011965
991,4719;0,010797
993,3355;0,010220
995,1992;0,010033
997,0629;0,008332
998,9265;0,006404
1000,7902;0,006045
1002,6539;0,005954
1004,5175;0,003579
1006,3812;0,001059
1008,2449;0,000036
1010,1086;-0,002177
1011,9722;-0,006192
1013,8359;-0,007628
1015,6996;-0,008261
1017,5632;-0,009288
1019,4269;-0,009067
1021,2906;-0,009193
1023,1542;-0,009317
1025,0179;-0,007600
1026,8816;-0,005141
1028,7452;-0,005366
1030,6089;-0,005156
1032,4726;-0,003247
1034,3362;-0,002315
1036,1999;-0,001980
1038,0636;-0,001344
1039,9273;0,000123
1041,7909;0,002009
1043,6546;0,003750
1045,5183;0,005665
1047,3819;0,006289
1049,2456;0,005104
1051,1093;0,005284
1052,9729;0,006526
1054,8366;0,005004
1056,7003;0,003798
1058,5639;0,004012
1060,4276;0,005382
1062,2913;0,007000
1064,1550;0,008099
1066,0186;0,009288
1067,8823;0,010575
1069,7460;0,012157
1071,6096;0,014640
1073,4733;0,017130
1075,3370;0,018014
1077,2006;0,020400
1079,0643;0,026263
1080,9280;0,032602
1082,7916;0,038206
1084,6553;0,045604
1086,5190;0,054893
1088,3826;0,065820
1090,2463;0,079276
1092,1100;0,092255
1093,9737;0,106138
1095,8373;0,122584
1097,7010;0,139628
1099,5647;0,154829
1101,4283;0,167305
1103,2920;0,176732
1105,1557;0,182487
1107,0193;0,184657
1108,8830;0,183390
1110,7467;0,180367
1112,6103;0,175569
1114,4740;0,170788
1116,3377;0,169055
1118,2014;0,172703
1120,0650;0,182525
1121,9287;0,200147
1123,7924;0,223299
1125,6560;0,242348
1127,5197;0,248855
1129,3834;0,240349
1131,2470;0,219682
1133,1107;0,193030
1134,9744;0,165298
1136,8380;0,143633
1138,7017;0,130019
1140,5654;0,120775
1142,4290;0,116114
1144,2927;0,116351
1146,1564;0,119258
1148,0201;0,125782
1149,8837;0,136877
1151,7474;0,150127
1153,6111;0,163639
1155,4747;0,178054
1157,3384;0,190634
1159,2021;0,195394
1161,0657;0,189233
1162,9294;0,172402
1164,7931;0,146106
1166,6567;0,116509
1168,5204;0,089592
1170,3841;0,067071
1172,2477;0,049750
1174,1114;0,038493
1175,9751;0,032401
1177,8388;0,028451
1179,7024;0,024519
1181,5661;0,022163
1183,4298;0,021557
1185,2934;0,021153
1187,1571;0,020392
1189,0208;0,019075
1190,8844;0,018315
1192,7481;0,017414
1194,6118;0,016787
1196,4754;0,015630
1198,3391;0,014011
1200,2028;0,013920
